c__unidentified,c__Limnochordia,c__Verrucomicrobiae,c__Melainabacteria,c__Deltaproteobacteria,c__Alphaproteobacteria,c__Clostridia,c__Sphingobacteriia,c__Betaproteobacteria,c__Gammaproteobacteria,c__Negativicutes,c__Mollicutes,c__Flavobacteriia,c__Synergistia,c__Bacteroidia,c__Actinobacteria,c__Chlamydiae,c__Anaerolineae,c__Unknown_Class,c__Spirochaetes,c__Coriobacteriia,c__Bacilli,c__Bacteroidetes_vadinHA17,c__Erysipelotrichia,c__Chloroplast,c__Epsilonproteobacteria,c__Cytophagia,c__Deferribacteres
0.00057779,0,0,0,0.062555372,0.001194099,0.502869689,0,0.000192597,0.122337352,0,0.003158584,0.00053927,0,0.196679635,0,0,0,0.005700859,0,0.001078541,0.085628443,0,0.001271137,0,0.011363199,3.85E-05,0.004814915
0.000154077,0,0,0.000115558,0.035630369,0.001078541,0.278648742,0,0,0.08859443,0,0.002927468,0,0,0.389353261,0.000308155,0,0,0.001887447,0,0.001733369,0.194175879,0,0.000962983,0,0.004083048,0,0.000346674
0,0,0.000115558,0,0.023920496,0,0.170293902,0,0,0.139825122,0,0.00111706,0,0,0.640114017,7.70E-05,0,0,0,0,0,0.011016525,0,0.003620816,0,0.00959131,0,0.000308155
0.000269635,0,0,0,0.104926621,0,0.476522476,0,0.000192597,0.000308155,3.85E-05,0.000654828,3.85E-05,3.85E-05,0.111012673,0.001232618,0,0,0.004160086,0,0.003120065,0.287007434,0,0.005585301,0,0.004853434,0,3.85E-05
0.000346674,0,0.001656331,0,0.044412773,0.014483263,0.313123531,0,0,0.000231116,0,0.002311159,0.000192597,0,0.53106583,0.000154077,0,3.85E-05,0.004545279,0,0.004468241,0.053503332,0,0.002465236,0,0.026732406,0,0.000269635
0.000962983,0,0,0,0.154886175,0.00115558,0.714687416,0,7.70E-05,0.000231116,0,0.00053927,0,0,0.040984554,0,0,0,0.000423712,0,0.000462232,0.0203382,0,0.000231116,7.70E-05,0.061707947,0,0.003235623
0.00057779,0,0.000654828,0,0.112553446,0.009437233,0.533415508,0,0,0.000346674,0,0.005970494,0.000654828,0,0.280536189,0,0,0,0.00053927,0,0.000885944,0.031123608,3.85E-05,0.003004507,0,0.014984014,0,0.005277146
0.000616309,0,0.000885944,0,0.188243904,0.000192597,0.532221409,0,0.000115558,0.000924464,0,3.85E-05,0,0,0.040021571,0.000269635,0,0,0.001887447,0,0.000654828,0.227803243,0,0.002619314,0,0.003312661,0,0.000192597
0.000269635,0,0,0,0.039790455,0.003274142,0.253572667,0,0.000154077,0.00053927,0,0.002003005,0.000308155,0,0.439659489,0.000154077,0,0,0.000115558,0,0.001425215,0.239551635,0,0.005431224,0,0.013481761,0,0.000269635
0.000115558,0,3.85E-05,3.85E-05,0.046608374,7.70E-05,0.501752629,0,0.000115558,0.000500751,0,0.000885944,0,0,0.027310196,0.000154077,0,0,0.006663842,0,0.00223412,0.411309272,0,0.000500751,0,0.001502253,0,0.000192597
